Player,Pos,Age,Tm,G,FG,FG%,eFG%,PTS
Kendrick Nunn,SG,27,LAL,39,2.6,.406,.488,6.7
Dwight Powell,C,31,DAL,76,2.6,.732,.732,6.7
David Roddy,PF,21,MEM,70,2.6,.429,.506,6.7
Mo Bamba,C,24,TOT,49,2.4,.485,.585,6.6
Drew Eubanks,C,25,POR,78,2.7,.641,.651,6.6
Jordan Goodwin,PG,24,WAS,62,2.5,.448,.501,6.6
Kevin Knox,SF-PF,23,TOT,63,2.4,.458,.556,6.6
Jock Landale,C,27,PHO,69,2.6,.528,.559,6.6
Nassir Little,SF,22,POR,54,2.5,.442,.538,6.6
Brandon Boston Jr.,SF,21,LAC,22,2.3,.418,.467,6.5
Luka Garza,C,24,MIN,28,2.3,.543,.603,6.5
Danny Green,SG,35,CLE,8,2.4,.500,.671,6.5
Jay Scrubb,SG,22,ORL,2,2.5,.714,.857,6.5
Cody Zeller,C,30,MIA,15,2.5,.627,.627,6.5
Patrick Beverley,SG,34,LAL,45,2.2,.402,.517,6.4
Goran Dragić,PG,36,CHI,51,2.5,.425,.500,6.4
JaMychal Green,PF,32,GSW,57,2.4,.540,.623,6.4
R.J. Hampton,SG,21,TOT,47,2.2,.430,.517,6.4
Sam Hauser,SF,25,BOS,80,2.3,.455,.631,6.4
Isaac Okoro,SF,22,CLE,76,2.3,.494,.582,6.4
Duncan Robinson,SF,28,MIA,42,2.1,.371,.504,6.4
Dario Šarić,PF-C,28,TOT,57,2.2,.458,.540,6.4
Nickeil Alexander-Walker,SG,24,UTA,36,2.3,.488,.591,6.3
Goran Dragić,PG,36,TOT,58,2.4,.421,.499,6.3
Simone Fontecchio,SF,27,UTA,52,2.2,.369,.470,6.3
Saben Lee,PG,23,PHO,23,2.0,.393,.440,6.3
Nickeil Alexander-Walker,SG,24,TOT,59,2.2,.444,.547,6.2
Patrick Beverley,SG-PG,34,TOT,67,2.1,.400,.511,6.2
Jared Butler,PG,22,OKC,6,2.5,.469,.578,6.2
Quenton Jackson,PG,24,WAS,9,2.1,.452,.464,6.2
Patty Mills,PG,34,BRK,40,2.2,.411,.529,6.2
Mike Muscala,C,31,OKC,43,2.1,.438,.576,6.2
Nicolas Batum,PF,34,LAC,78,2.1,.420,.583,6.1
Oshae Brissett,PF,24,IND,65,1.9,.386,.461,6.1
Evan Fournier,SG,30,NYK,27,2.1,.337,.443,6.1
Sandro Mamukelashvili,C,23,TOT,43,2.3,.422,.487,6.1
